ID,Title,Tags,Score,Solved,Accepted,Link
1691F,K-Set Tree,"combinatorics, dfs and similar, dp, math, trees",2500,441,0,https://codeforces.com/problemset/problem/1691/F
1691E,Number of Groups,"data structures, dfs and similar, dsu, graphs, greedy, sortings",2300,992,0,https://codeforces.com/problemset/problem/1691/E
1691D,Max GEQ Sum,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers",1800,2889,0,https://codeforces.com/problemset/problem/1691/D
1691C,Sum of Substrings,"brute force, constructive algorithms, greedy, math, strings",1400,9581,0,https://codeforces.com/problemset/problem/1691/C
1691B,Shoe Shuffling,"constructive algorithms, greedy, implementation, two pointers",1000,14428,0,https://codeforces.com/problemset/problem/1691/B
1691A,Beat The Odds,"brute force, greedy, math",800,20359,0,https://codeforces.com/problemset/problem/1691/A
1690G,Count the Trains,"binary search, data structures, sortings",2000,1113,0,https://codeforces.com/problemset/problem/1690/G
1690F,Shifting String,"graphs, math, number theory, strings",1700,2940,0,https://codeforces.com/problemset/problem/1690/F
1690E,Price Maximization,"binary search, greedy, math, two pointers",1500,6817,0,https://codeforces.com/problemset/problem/1690/E
1690D,Black and White Stripe,"implementation, two pointers",1000,13225,0,https://codeforces.com/problemset/problem/1690/D
1690C,Restoring the Duration of Tasks,"data structures, greedy, implementation",800,16999,0,https://codeforces.com/problemset/problem/1690/C
1690B,Array Decrements,"greedy, implementation",800,16056,0,https://codeforces.com/problemset/problem/1690/B
1690A,Print a Pedestal (Codeforces logo?),"constructive algorithms, greedy",800,21227,0,https://codeforces.com/problemset/problem/1690/A
1688C,Manipulating History,"constructive algorithms, greedy, strings",1700,5129,0,https://codeforces.com/problemset/problem/1688/C
1688B,Patchouli's Magical Talisman,"bitmasks, constructive algorithms, greedy, sortings",800,13668,0,https://codeforces.com/problemset/problem/1688/B
1688A,Cirno's Perfect Bitmasks Classroom,"bitmasks, brute force",800,14680,0,https://codeforces.com/problemset/problem/1688/A
1687F,Koishi's Unconscious Permutation,"fft, math",3500,16,0,https://codeforces.com/problemset/problem/1687/F
1687E,Become Big For Me,"combinatorics, constructive algorithms, greedy, math, number theory",3500,59,0,https://codeforces.com/problemset/problem/1687/E
1687D,Cute number,"binary search, brute force, data structures, dsu, implementation, math",2900,215,0,https://codeforces.com/problemset/problem/1687/D
1687C,Sanae and Giant Robot,"binary search, brute force, data structures, dsu, greedy, sortings",2500,661,0,https://codeforces.com/problemset/problem/1687/C
1687B,Railway System,"constructive algorithms, graphs, greedy, interactive, sortings",1700,1876,0,https://codeforces.com/problemset/problem/1687/B
1687A,The Enchanted Forest,"brute force, greedy",1600,5761,0,https://codeforces.com/problemset/problem/1687/A
1686B,Odd Subarrays,"dp, greedy",800,13852,0,https://codeforces.com/problemset/problem/1686/B
1686A,Everything Everywhere All But One,greedy,800,16201,0,https://codeforces.com/problemset/problem/1686/A
1685E,The Ultimate LIS Problem,"data structures, greedy",3500,43,0,https://codeforces.com/problemset/problem/1685/E
1685D2,Permutation Weight (Hard Version),"constructive algorithms, greedy",3500,38,0,https://codeforces.com/problemset/problem/1685/D2
1685D1,Permutation Weight (Easy Version),"constructive algorithms, dfs and similar, dsu",2800,219,0,https://codeforces.com/problemset/problem/1685/D1
1685C,Bring Balance,"brute force, constructive algorithms, greedy",2600,431,0,https://codeforces.com/problemset/problem/1685/C
1685B,Linguistics,"greedy, implementation, sortings, strings",2000,1975,0,https://codeforces.com/problemset/problem/1685/B
1685A,Circular Local MiniMax,"constructive algorithms, greedy, sortings",1100,11655,0,https://codeforces.com/problemset/problem/1685/A
1684H,Hard Cut,"constructive algorithms, dfs and similar, divide and conquer, math",3400,107,0,https://codeforces.com/problemset/problem/1684/H
1684G,Euclid Guess,"constructive algorithms, flows, graph matchings, math, number theory",2800,338,0,https://codeforces.com/problemset/problem/1684/G
1684F,Diverse Segments,"data structures, two pointers",2600,554,0,https://codeforces.com/problemset/problem/1684/F
1684E,MEX vs DIFF,"binary search, brute force, constructive algorithms, data structures, greedy, two pointers",2100,2020,0,https://codeforces.com/problemset/problem/1684/E
